,,Model,Family,Line,Platform,"Product ID Tray","Product ID Boxed","Product ID MPK","Launch Date","# of CPU Cores","# of Threads","Graphics Core Count","Base Clock","Max. Boost Clock ¹ ²","All Core Boost Speed","Total L1 Cache","Total L2 Cache","Total L3 Cache","Unlocked for Overclocking","Processor Technology for CPU Cores","CPU Socket","Socket Count","PCI Express® Version","Thermal Solution PIB","Thermal Solution MPK","Default TDP","AMD Configurable TDP (cTDP)","Max. Operating Temperature (Tjmax)","*OS Support","System Memory Specification","System Memory Type","Memory Channels","Per Socket Mem BW","Graphics Frequency","GPU Base","Graphics Model","Supported Technologies","Workload Affinity"
,on,"6th Gen AMD PRO A4-8350B APU","AMD PRO A-Series Processors","AMD PRO A-Series A4 APU for Desktops",Desktop,AD835BYBI23JC,n/a,,,2,2,4,3.5GHz,"Up to 3.9GHz",,,1MB,,No,28nm,FM2+,,,,,65W,45W/65WW,71.30°C,"Windows 10 - 64-Bit Edition, Windows 7 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 1866MHz",DDR3,2,,"757 MHz",,"AMD Radeon™ R5 Graphics","Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AMD App Acceleration, AVX, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, Heterogeneous System Architecture (HSA), AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, Switchable Graphics, AMD Elite Experiences, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, RAID Support, System Image Stability, Enhanced Virus Protection, AMD Mantle API",
,on,"6th Gen AMD PRO A12-8830B APU","AMD PRO A-Series Processors","AMD PRO A-Series A12 APU for Laptops",Laptop,AM883BADY44AB,,,"Q3 2016",4,,6,2.5GHz,"Up to 3.4GHz",,,2MB,,No,28nm,FP4,,,,,,12W/15WW,,"Windows 10 - 64-Bit Edition, Windows 7 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 1866MHz",DDR4,,,"758 MHz",,R7,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AVX, Catalyst Software, FMA4, AMD Frame Rate Target Control, The Vulkan® API, Switchable Graphics",
,on,"6th Gen AMD PRO A12-8800B APU","AMD PRO A-Series Processors","AMD PRO A-Series A12 APU for Laptops",Laptop,,,,,4,4,8,2.1GHz,"Up to 3.4GHz",,,2MB,,No,28nm,FP4,,,,,15W,,,"Windows 10 - 64-Bit Edition, Windows 7 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2133MHz",DDR3/DDR3L,2,,"800 MHz",,"AMD Radeon™ R7 Graphics","Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AMD App Acceleration, AVX, Catalyst Software, AMD Enduro™ Technology, FMA4, Heterogeneous System Architecture (HSA), AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), Switchable Graphics, AMD Elite Experiences, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, RAID Support, System Image Stability, Enhanced Virus Protection, AMD HD3D Technology",
,on,"6th Gen AMD PRO A10-8730B APU","AMD PRO A-Series Processors","AMD PRO A-Series A10 APU for Laptops",Laptop,AM873BADY44AB,,,"Q3 2016",4,,6,2.4GHz,"Up to 3.3GHz",,,2MB,,No,28nm,FP4,,,,,,12W/15WW,,"Windows 10 - 64-Bit Edition, Windows 7 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 1866MHz",DDR4,,,"720 MHz",,R5,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AVX, Catalyst Software, FMA4, AMD Frame Rate Target Control, The Vulkan® API, Switchable Graphics",
,on,"6th Gen AMD PRO A10-8700B APU","AMD PRO A-Series Processors","AMD PRO A-Series A10 APU for Laptops",Laptop,,n/a,,,4,4,6,1.8GHz,"Up to 3.2GHz",,,2MB,,No,28nm,FP4,,,,,15W,,,"Windows 10 - 64-Bit Edition, Windows 7 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2133MHz",DDR3/DDR3L,2,,"800 MHz",,"AMD Radeon™ R6 Graphics","Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AMD App Acceleration, AVX, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, Heterogeneous System Architecture (HSA), AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, Switchable Graphics, AMD Elite Experiences, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, RAID Support, System Image Stability, Enhanced Virus Protection, AMD HD3D Technology, AMD Mantle API",
,on,"6th Gen AMD PRO A8-8600B APU","AMD PRO A-Series Processors","AMD PRO A-Series A8 APU for Laptops",Laptop,,n/a,,,4,4,6,1.6GHz,"Up to 3.0GHz",,,2MB,,No,28nm,FP4,,,,,15W,,,"Windows 10 - 64-Bit Edition, Windows 7 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2133MHz",DDR3/DDR3L,2,,"720 MHz",,"AMD Radeon™ R6 Graphics","Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AMD App Acceleration, AVX, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, Heterogeneous System Architecture (HSA), AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, Switchable Graphics, AMD Elite Experiences, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, RAID Support, System Image Stability, Enhanced Virus Protection, AMD HD3D Technology, AMD Mantle API",
,on,"6th Gen AMD PRO A6-8530B APU","AMD PRO A-Series Processors","AMD PRO A-Series A6 APU for Laptops",Laptop,AM853BADY23AB,,,"Q3 2016",2,,4,2.3GHz,"Up to 3.2GHz",,,1MB,,No,28nm,FP4,,,,,,12W/15WW,,"Windows 10 - 64-Bit Edition, Windows 7 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 1866MHz",DDR4,,,"800 MHz",,R5,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AVX, Catalyst Software, FMA4, AMD Frame Rate Target Control, The Vulkan® API, Switchable Graphics",
,on,"6th Gen AMD PRO A6-8500B APU","AMD PRO A-Series Processors","AMD PRO A-Series A6 APU for Laptops",Laptop,n/a,n/a,,,2,4,4,1.6GHz,"Up to 3.0GHz",,,1MB,,No,28nm,FP4,,,,,15W,,,"Windows 10 - 64-Bit Edition, Windows 7 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 1600MHz",DDR3/DDR3L,2,,"800 MHz",,"AMD Radeon™ R5 Graphics","Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AMD App Acceleration, AVX, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, Heterogeneous System Architecture (HSA), AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, Switchable Graphics, AMD Elite Experiences, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, RAID Support, System Image Stability, Enhanced Virus Protection, AMD HD3D Technology, AMD Mantle API",
,on,"6th Gen FX-8800P APU","AMD FX-Series Processors","AMD FX-Series Processors for Laptops",Laptop,FM880PAAY43KA,n/a,,,4,4,8,2.1GHz,"Up to 3.4GHz",,,2MB,,No,28nm,FP4,,,,,15W,,90°C,"Windows 10 - 64-Bit Edition, Windows 7 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2133MHz",DDR3,2,,"800 MHz",,"AMD Radeon™ R7 Graphics","Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AMD App Acceleration, AVX, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, Heterogeneous System Architecture (HSA), AMD Radeon™ Dual Graphics, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, Switchable Graphics, AMD Elite Experiences, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, Enhanced Virus Protection, AMD HD3D Technology, AMD Mantle API",
,on,"A10-7890K with Radeon™ R7 Graphics and Wraith cooler","AMD A-Series Processors","AMD A10-Series APU for Desktops","Boxed Processor",n/a,AD789KXDJCHBX,,,4,,8,4.1GHz,"Up to 4.3GHz",,256KB,4MB,,Yes,28nm,FM2+,,,"Wraith cooler",,95W,,72.40°C,,"Up to 2133MHz",DDR3,2,,"866 MHz",,"AMD Radeon™ R7 Graphics","Virtualization, AES, Catalyst Software, AMD Radeon™ Dual Graphics, AMD FreeSync™ Technology, AMD Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, AMD PowerTune Technology, System Image Stability, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, Heterogeneous System Architecture (HSA), AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",
,on,"A10-7870K with Radeon™ R7 Series","AMD A-Series Processors","AMD A10-Series APU for Desktops","Boxed Processor",AD787KXDI44JC,AD787KXDJCBOX,,,4,4,8,3.9GHz,"Up to 4.1GHz",,256KB,4MB,,Yes,28nm,FM2+,,,,,95W,,72.40°C,,"Up to 2133MHz",DDR3,2,,"866 MHz",,"AMD Radeon™ R7 Graphics","Virtualization, AES, Catalyst Software, AMD Radeon™ Dual Graphics, AMD FreeSync™ Technology, AMD Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, AMD PowerTune Technology, System Image Stability, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, Heterogeneous System Architecture (HSA), AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",
,on,"A10-7870K with Radeon™ R7 Graphics and Near Silent Thermal Solution","AMD A-Series Processors","AMD A10-Series APU for Desktops","Boxed Processor",n/a,AD787KXDJCSBX,,,4,,8,3.9GHz,"Up to 4.1GHz",,256KB,4MB,,Yes,28nm,FM2+,,,"Near Silent 125W",,95W,,72.40°C,,"Up to 2133MHz",DDR3,2,,"866 MHz",,"AMD Radeon™ R7 Graphics","Virtualization, AES, Catalyst Software, AMD Radeon™ Dual Graphics, AMD FreeSync™ Technology, AMD Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, AMD PowerTune Technology, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), AMD App Acceleration, AMD HD3D Technology, AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",
,on,"A10-7860K with Radeon™ R7 Series","AMD A-Series Processors","AMD A10-Series APU for Desktops","Boxed Processor",AD786KYBI44JC,AD786KYBJABOX,,,4,4,8,3.6GHz,"Up to 4.0GHz",,256KB,4MB,,Yes,28nm,FM2+,,,,,65W,45W/65WW,71.30°C,,"Up to 2133MHz",DDR3,2,,"757 MHz",,"AMD Radeon™ R7 Graphics","Virtualization, AES, Catalyst Software, AMD Radeon™ Dual Graphics, AMD FreeSync™ Technology, AMD Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, AMD PowerTune Technology, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), AMD App Acceleration, AMD HD3D Technology, AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",
,on,"A10-7860K with Radeon™ R7 Graphics and Near Silent Thermal Solution","AMD A-Series Processors","AMD A10-Series APU for Desktops","Boxed Processor",n/a,AD786KYBJCSBX,,,4,4,8,3.6GHz,"Up to 4.0GHz",,256KB,4MB,,Yes,28nm,FM2+,,,"Near Silent 95W",,65W,45W/65WW,71.30°C,,"Up to 2133MHz",DDR3,2,,"757 MHz",,"AMD Radeon™ R7 Graphics","Virtualization, AES, Catalyst Software, AMD Radeon™ Dual Graphics, AMD FreeSync™ Technology, AMD Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, AMD PowerTune Technology, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), AMD App Acceleration, AMD HD3D Technology, AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",
,on,"A10-7850K with Radeon™ R7 Series","AMD A-Series Processors","AMD A10-Series APU for Desktops","Boxed Processor",AD785KXBI44JA,AD785KXBJABOX,,,4,4,8,3.7GHz,"Up to 4.0GHz",,256KB,4MB,,Yes,28nm,FM2+,,,,,95W,,72.40°C,,"Up to 2133MHz",DDR3,2,,"720 MHz",,"AMD Radeon™ R7 Graphics","Virtualization, AES, Catalyst Software, AMD Radeon™ Dual Graphics, AMD FreeSync™ Technology, AMD Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, Heterogeneous System Architecture (HSA), AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",
,on,"A10-7800 with Radeon™ R7 Series","AMD A-Series Processors","AMD A10-Series APU for Desktops","Boxed Processor",AD7800YBI44JA,AD7800YBJABOX,,,4,4,8,3.5GHz,"Up to 3.9GHz",,256KB,4MB,,No,28nm,FM2+,,,,,,45W/65WW,71.30°C,,"Up to 2133MHz",DDR3,2,,"720 MHz",,"AMD Radeon™ R7 Graphics","Virtualization, AES, Catalyst Software, AMD Radeon™ Dual Graphics, AMD FreeSync™ Technology, AMD Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, Heterogeneous System Architecture (HSA), AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",
,on,"A10-7700K with Radeon™ R7 Series","AMD A-Series Processors","AMD A10-Series APU for Desktops","Boxed Processor",AD770KXBI44JA,AD770KXBJABOX,,,4,4,6,3.4GHz,"Up to 3.8GHz",,256KB,4MB,,Yes,28nm,FM2+,,,,,,45W/65WW,72.40°C,,"Up to 2133MHz",DDR3,2,,"720 MHz",,"AMD Radeon™ R7 Graphics","Virtualization, AES, Catalyst Software, AMD Radeon™ Dual Graphics, AMD FreeSync™ Technology, AMD Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, Heterogeneous System Architecture (HSA), AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",
,on,"A10-6800K with Radeon™ HD 8670D","AMD A-Series Processors","AMD A10-Series APU for Desktops","Boxed Processor",AD680KWOA44HL,AD680KWOHLBOX,,,4,4,,4.1GHz,"Up to 4.4GHz",,192KB,4MB,,Yes,"32nm SOI",FM2,,,,,100W,,74°C,,"Up to 2133MHz",DDR3,2,,"844 MHz",,"AMD Radeon™ HD 8670D","Virtualization, AES, Catalyst Software, Switchable Graphics, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 11, FMA4, AVX",
,on,"A10-6790K with Radeon™ HD 8670D","AMD A-Series Processors","AMD A10-Series APU for Desktops","Boxed Processor",AD679KWOA44HL,AD679KWOHLBOX,,,4,4,,4.0GHz,"Up to 4.3GHz",,192KB,4MB,,Yes,"32nm SOI",FM2,,,,,100W,,74°C,,"Up to 1866MHz",DDR3,2,,"844 MHz",,"AMD Radeon™ HD 8670D","Virtualization, AES, Catalyst Software, Switchable Graphics, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 11, FMA4, AVX",
,on,"A10-6700 with Radeon™ HD 8670D","AMD A-Series Processors","AMD A10-Series APU for Desktops","Boxed Processor",AD6700OKA44HL,AD6700OKHLBOX,,,4,4,,3.7GHz,"Up to 4.3GHz",,192KB,4MB,,No,"32nm SOI",FM2,,,,,65W,,71.30°C,,"Up to 1866MHz",DDR3,2,,"844 MHz",,"AMD Radeon™ HD 8670D","Virtualization, AES, Catalyst Software, Switchable Graphics, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 11, FMA4, AVX",
,on,"A10-6700T with Radeon™ HD 8650D","AMD A-Series Processors","AMD A10-Series APU for Desktops","Boxed Processor",AD670TYHA44HL,AD670TYHHLBOX,,,4,4,,2.5GHz,"Up to 3.5GHz",,192KB,4MB,,No,"32nm SOI",FM2,,,,,45W,,71.30°C,,"Up to 1866MHz",DDR3,2,,"720 MHz",,"AMD Radeon™ HD 8650D","Virtualization, AES, Catalyst Software, Switchable Graphics, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 11, FMA4, AVX",
,on,"AMD EPYC™ 7763","AMD EPYC™","AMD EPYC™ 7003 Series",Server,100-000000312,100-100000312WOF,,3/15/2021,64,128,,2.45GHz,"Up to 3.5GHz",,,,256MB,,,SP3,1P/2P,"PCIe 4.0 x128",,,280W,225-280W,,,"Up to 3200MHz",DDR4,8,"204.80 GB/s",,,,"AMD Infinity Guard, AMD Infinity Architecture","Analytics, CAE/CFD/FEA, ERM/SCM/CRM apps, High capacity data mgmt (NR/RDBMS), Cache-sensitive scale-up/out, VM Density"
,on,"AMD EPYC™ 7713P","AMD EPYC™","AMD EPYC™ 7003 Series",Server,100-000000337,100-100000337WOF,,3/15/2021,64,128,,2.0GHz,"Up to 3.675GHz",,,,256MB,,,SP3,1P,"PCIe 4.0 x128",,,225W,225-240W,,,"Up to 3200MHz",DDR4,8,"204.80 GB/s",,,,"AMD Infinity Guard, AMD Infinity Architecture","App dev/test, ERM/SCM/CRM apps, Value data mgmt (NR/RDBMS), VDI, VM Density"
,on,"AMD EPYC™ 7713","AMD EPYC™","AMD EPYC™ 7003 Series",Server,100-000000344,100-100000344WOF,,3/15/2021,64,128,,2.0GHz,"Up to 3.675GHz",,,,256MB,,,SP3,1P/2P,"PCIe 4.0 x128",,,225W,225-240W,,,"Up to 3200MHz",DDR4,8,"204.80 GB/s",,,,"AMD Infinity Guard, AMD Infinity Architecture","Analytics, App dev/test, CAE/CFD/FEA, ERM/SCM/CRM apps, High capacity data mgmt (NR/RDBMS), VDI, VM Density"
,on,"AMD EPYC™ 7663","AMD EPYC™","AMD EPYC™ 7003 Series",Server,100-000000318,100-100000318WOF,,3/15/2021,56,112,,2.0GHz,"Up to 3.5GHz",,,,256MB,,,SP3,1P/2P,"PCIe 4.0 x128",,,240W,225-240W,,,"Up to 3200MHz",DDR4,8,"204.80 GB/s",,,,"AMD Infinity Guard, AMD Infinity Architecture","Analytics, App dev/test, CAE/CFD/FEA, ERM/SCM/CRM apps, High capacity data mgmt (NR/RDBMS), VDI, VM Density"
,on,"AMD EPYC™ 7643","AMD EPYC™","AMD EPYC™ 7003 Series",Server,100-000000326,100-100000326WOF,,3/15/2021,48,96,,2.3GHz,"Up to 3.6GHz",,,,256MB,,,SP3,1P/2P,"PCIe 4.0 x128",,,225W,225-240W,,,"Up to 3200MHz",DDR4,8,"204.80 GB/s",,,,"AMD Infinity Guard, AMD Infinity Architecture","Analytics, App dev/test, CAE/CFD/FEA, ERM/SCM/CRM apps, High capacity data mgmt (NR/RDBMS), VDI, VM Density"
,on,"AMD EPYC™ 75F3","AMD EPYC™","AMD EPYC™ 7003 Series",Server,100-000000313,100-100000313WOF,,3/15/2021,32,64,,2.95GHz,"Up to 4.0GHz",,,,256MB,,,SP3,1P/2P,"PCIe 4.0 x128",,,280W,225-280W,,,"Up to 3200MHz",DDR4,8,"204.80 GB/s",,,,"AMD Infinity Guard, AMD Infinity Architecture","EDA, HCI, High performance VM Density, Per core CAE/CFD/FEA, VDI"
,on,"AMD EPYC™ 7543P","AMD EPYC™","AMD EPYC™ 7003 Series",Server,100-000000341,100-100000341WOF,,3/15/2021,32,64,,2.8GHz,"Up to 3.7GHz",,,,256MB,,,SP3,1P,"PCIe 4.0 x128",,,225W,225-240W,,,"Up to 3200MHz",DDR4,8,"204.80 GB/s",,,,"AMD Infinity Guard, AMD Infinity Architecture","ERM/SCM/CRM apps, Value data mgmt (NR/RDBMS), VDI, VM Density"
,on,"AMD EPYC™ 7543","AMD EPYC™","AMD EPYC™ 7003 Series",Server,100-000000345,100-100000345WOF,,3/15/2021,32,64,,2.8GHz,"Up to 3.7GHz",,,,256MB,,,SP3,1P/2P,"PCIe 4.0 x128",,,225W,225-240W,,,"Up to 3200MHz",DDR4,8,"204.80 GB/s",,,,"AMD Infinity Guard, AMD Infinity Architecture","Analytics, CAE/CFD/FEA, ERM/SCM/CRM apps, Media streaming, Medium capacity data mgmt (NR/RDBMS), VDI, VM Density"
,on,"AMD EPYC™ 7513","AMD EPYC™","AMD EPYC™ 7003 Series",Server,100-000000334,100-100000334WOF,,3/15/2021,32,64,,2.6GHz,"Up to 3.65GHz",,,,128MB,,,SP3,1P/2P,"PCIe 4.0 x128",,,200W,165-200W,,,"Up to 3200MHz",DDR4,8,"204.80 GB/s",,,,"AMD Infinity Guard, AMD Infinity Architecture","App dev/test, Content mgmt, General Purpose"
,on,"AMD EPYC™ 7453","AMD EPYC™","AMD EPYC™ 7003 Series",Server,100-000000319,100-100000319WOF,,3/15/2021,28,56,,2.75GHz,"Up to 3.45GHz",,,,64MB,,,SP3,1P/2P,"PCIe 4.0 x128",,,225W,225-240W,,,"Up to 3200MHz",DDR4,8,"204.80 GB/s",,,,"AMD Infinity Guard, AMD Infinity Architecture","Analytics, App dev/test, Content mgmt, General Purpose, Value, Value data mgmt (NR/RDBMS)"
,on,"AMD EPYC™ 74F3","AMD EPYC™","AMD EPYC™ 7003 Series",Server,100-000000317,100-100000317WOF,,3/15/2021,24,48,,3.2GHz,"Up to 4.0GHz",,,,256MB,,,SP3,1P/2P,"PCIe 4.0 x128",,,240W,225-240W,,,"Up to 3200MHz",DDR4,8,"204.80 GB/s",,,,"AMD Infinity Guard, AMD Infinity Architecture","EDA, HCI, High performance VM Density, Per core CAE/CFD/FEA, VDI"
,on,"AMD EPYC™ 7443P","AMD EPYC™","AMD EPYC™ 7003 Series",Server,100-000000342,100-100000342WOF,,3/15/2021,24,48,,2.85GHz,"Up to 4.0GHz",,,,128MB,,,SP3,1P,"PCIe 4.0 x128",,,200W,165-200W,,,"Up to 3200MHz",DDR4,8,"204.80 GB/s",,,,"AMD Infinity Guard, AMD Infinity Architecture","General Purpose, SW-defined storage, Value"
,on,"AMD EPYC™ 7443","AMD EPYC™","AMD EPYC™ 7003 Series",Server,100-000000340,100-100000340WOF,,3/15/2021,24,48,,2.85GHz,"Up to 4.0GHz",,,,128MB,,,SP3,1P/2P,"PCIe 4.0 x128",,,200W,165-200W,,,"Up to 3200MHz",DDR4,8,"204.80 GB/s",,,,"AMD Infinity Guard, AMD Infinity Architecture","General Purpose, GPU/FPGA Accelerated, Per core CAE/CFD/FEA, SW-defined storage"
,on,"AMD EPYC™ 7413","AMD EPYC™","AMD EPYC™ 7003 Series",Server,100-000000323,100-100000323WOF,,3/15/2021,24,48,,2.65GHz,"Up to 3.6GHz",,,,128MB,,,SP3,1P/2P,"PCIe 4.0 x128",,,180W,165-200W,,,"Up to 3200MHz",DDR4,8,"204.80 GB/s",,,,"AMD Infinity Guard, AMD Infinity Architecture","ERM/SCM/CRM apps, General Purpose, Networking/NFV, Web Serving"
,on,"AMD EPYC™ 73F3","AMD EPYC™","AMD EPYC™ 7003 Series",Server,100-000000321,100-100000321WOF,,3/15/2021,16,32,,3.5GHz,"Up to 4.0GHz",,,,256MB,,,SP3,1P/2P,"PCIe 4.0 x128",,,240W,225-240W,,,"Up to 3200MHz",DDR4,8,"204.80 GB/s",,,,"AMD Infinity Guard, AMD Infinity Architecture","EDA, High-speed data mgmt (NR/RDBMS), Per core CAE/CFD/FEA"
,on,"AMD EPYC™ 7343","AMD EPYC™","AMD EPYC™ 7003 Series",Server,100-000000338,100-100000338WOF,,3/15/2021,16,32,,3.2GHz,"Up to 3.9GHz",,,,128MB,,,SP3,1P/2P,"PCIe 4.0 x128",,,190W,165-200W,,,"Up to 3200MHz",DDR4,8,"204.80 GB/s",,,,"AMD Infinity Guard, AMD Infinity Architecture","EDA, General Purpose, Media streaming, Per core CAE/CFD/FEA, Value"
,on,"AMD EPYC™ 7313P","AMD EPYC™","AMD EPYC™ 7003 Series",Server,100-000000339,100-100000339WOF,,3/15/2021,16,32,,3.0GHz,"Up to 3.7GHz",,,,128MB,,,SP3,1P,"PCIe 4.0 x128",,,155W,155-180W,,,"Up to 3200MHz",DDR4,8,"204.80 GB/s",,,,"AMD Infinity Guard, AMD Infinity Architecture","EDA, Media streaming, Value per core CAE/CFD/FEA"
,on,"AMD EPYC™ 7313","AMD EPYC™","AMD EPYC™ 7003 Series",Server,100-000000329,100-100000329WOF,,3/15/2021,16,32,,3.0GHz,"Up to 3.7GHz",,,,128MB,,,SP3,1P/2P,"PCIe 4.0 x128",,,155W,155-180W,,,"Up to 3200MHz",DDR4,8,"204.80 GB/s",,,,"AMD Infinity Guard, AMD Infinity Architecture","EDA, Media streaming, Per core CAE/CFD/FEA"
